month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price
2017-02,JURONG EAST,4 ROOM,52,TEBAN GDNS RD,10 TO 12,83,Simplified,1987,69 years 01 month,355000
2017-04,JURONG EAST,4 ROOM,53,TEBAN GDNS RD,10 TO 12,83,Simplified,1986,68 years 08 months,345000
2017-06,JURONG EAST,4 ROOM,31,TEBAN GDNS RD,10 TO 12,99,New Generation,1981,63 years 01 month,355000
2017-07,JURONG EAST,4 ROOM,47,TEBAN GDNS RD,10 TO 12,93,New Generation,1985,67 years 01 month,383500
2017-09,JURONG EAST,4 ROOM,41,TEBAN GDNS RD,10 TO 12,99,New Generation,1981,62 years 10 months,380000
2018-06,JURONG EAST,4 ROOM,48,TEBAN GDNS RD,10 TO 12,93,New Generation,1985,66 years 06 months,345000
2018-06,JURONG EAST,4 ROOM,31,TEBAN GDNS RD,10 TO 12,99,New Generation,1981,62 years 01 month,360000
2018-07,JURONG EAST,4 ROOM,65,TEBAN GDNS RD,10 TO 12,90,Model A,2003,84 years,380000
2018-10,JURONG EAST,4 ROOM,21,TEBAN GDNS RD,10 TO 12,87,Model A,2013,93 years 11 months,420000
2019-03,JURONG EAST,4 ROOM,64,TEBAN GDNS RD,10 TO 12,90,Model A,2003,83 years 03 months,345000
2019-06,JURONG EAST,4 ROOM,25,TEBAN GDNS RD,10 TO 12,99,Model A,1993,73 years 01 month,368000
2019-08,JURONG EAST,4 ROOM,47,TEBAN GDNS RD,10 TO 12,93,New Generation,1985,65 years,328000
2019-10,JURONG EAST,4 ROOM,22,TEBAN GDNS RD,10 TO 12,92,Model A,2013,92 years 11 months,408000
2020-03,JURONG EAST,4 ROOM,32,TEBAN GDNS RD,10 TO 12,99,New Generation,1981,60 years 05 months,308000
2020-08,JURONG EAST,4 ROOM,31,TEBAN GDNS RD,10 TO 12,99,New Generation,1981,59 years 11 months,340000
2020-11,JURONG EAST,4 ROOM,56,TEBAN GDNS RD,10 TO 12,92,Model A,2016,95 years 01 month,440000
2020-12,JURONG EAST,4 ROOM,60,TEBAN GDNS RD,10 TO 12,90,Model A,2003,81 years 09 months,360000
2021-01,JURONG EAST,4 ROOM,52,TEBAN GDNS RD,10 TO 12,83,Simplified,1987,65 years 03 months,335000
2021-03,JURONG EAST,4 ROOM,41,TEBAN GDNS RD,10 TO 12,103,New Generation,1981,59 years 04 months,395000
2021-03,JURONG EAST,4 ROOM,31,TEBAN GDNS RD,10 TO 12,103,New Generation,1981,59 years 04 months,395000
2021-04,JURONG EAST,4 ROOM,62,TEBAN GDNS RD,10 TO 12,90,Model A,2003,81 years 03 months,375000
2021-04,JURONG EAST,4 ROOM,43,TEBAN GDNS RD,10 TO 12,98,New Generation,1985,63 years 05 months,385000
2021-07,JURONG EAST,4 ROOM,53,TEBAN GDNS RD,10 TO 12,83,Simplified,1986,64 years 06 months,340000
2021-07,JURONG EAST,4 ROOM,47,TEBAN GDNS RD,10 TO 12,93,New Generation,1985,63 years 02 months,395000
2021-08,JURONG EAST,4 ROOM,47,TEBAN GDNS RD,10 TO 12,93,New Generation,1985,63 years,410000
2021-08,JURONG EAST,4 ROOM,20,TEBAN GDNS RD,10 TO 12,92,Model A,2013,91 years 01 month,455000
2021-08,JURONG EAST,4 ROOM,57,TEBAN GDNS RD,10 TO 12,92,Model A,2016,94 years 04 months,465000
2021-08,JURONG EAST,4 ROOM,56,TEBAN GDNS RD,10 TO 12,92,Model A,2016,94 years 03 months,480000
2021-09,JURONG EAST,4 ROOM,32,TEBAN GDNS RD,10 TO 12,99,New Generation,1981,58 years 11 months,380000
2021-11,JURONG EAST,4 ROOM,30,TEBAN GDNS RD,10 TO 12,99,New Generation,1981,58 years 09 months,410000
2021-12,JURONG EAST,4 ROOM,30,TEBAN GDNS RD,10 TO 12,99,New Generation,1981,58 years 08 months,440000
2022-02,JURONG EAST,4 ROOM,25,TEBAN GDNS RD,10 TO 12,99,Model A,1993,70 years 05 months,425000
2022-03,JURONG EAST,4 ROOM,60,TEBAN GDNS RD,10 TO 12,90,Model A,2003,80 years 05 months,440000
2022-07,JURONG EAST,4 ROOM,56,TEBAN GDNS RD,10 TO 12,92,Model A,2016,93 years 05 months,536000
2022-08,JURONG EAST,4 ROOM,24,TEBAN GDNS RD,10 TO 12,99,Model A,1993,70 years 01 month,450000
2022-08,JURONG EAST,4 ROOM,21,TEBAN GDNS RD,10 TO 12,87,Model A,2013,90 years 02 months,508000
2022-09,JURONG EAST,4 ROOM,57,TEBAN GDNS RD,10 TO 12,92,Model A,2016,93 years 03 months,518000
2022-10,JURONG EAST,4 ROOM,48,TEBAN GDNS RD,10 TO 12,93,New Generation,1985,62 years 02 months,445000
2022-10,JURONG EAST,4 ROOM,25,TEBAN GDNS RD,10 TO 12,107,Model A,1993,69 years 10 months,480000
2022-11,JURONG EAST,4 ROOM,31,TEBAN GDNS RD,10 TO 12,99,New Generation,1981,57 years 08 months,425000
2023-01,JURONG EAST,4 ROOM,25,TEBAN GDNS RD,10 TO 12,107,Model A,1993,69 years 07 months,473000
2023-04,JURONG EAST,4 ROOM,31,TEBAN GDNS RD,10 TO 12,99,New Generation,1981,57 years 03 months,455800
2023-07,JURONG EAST,4 ROOM,25,TEBAN GDNS RD,10 TO 12,107,Model A,1993,69 years,506000
2023-08,JURONG EAST,4 ROOM,52,TEBAN GDNS RD,10 TO 12,83,Simplified,1987,62 years 10 months,425000
2023-09,JURONG EAST,4 ROOM,41,TEBAN GDNS RD,10 TO 12,99,New Generation,1981,56 years 10 months,450000
2023-10,JURONG EAST,4 ROOM,25,TEBAN GDNS RD,10 TO 12,99,Model A,1993,68 years 10 months,480000
2023-11,JURONG EAST,4 ROOM,62,TEBAN GDNS RD,10 TO 12,90,Model A,2003,78 years 07 months,495000
2023-12,JURONG EAST,4 ROOM,22,TEBAN GDNS RD,10 TO 12,87,Model A,2013,88 years 09 months,550000
2024-01,JURONG EAST,4 ROOM,30,TEBAN GDNS RD,10 TO 12,99,New Generation,1981,56 years 08 months,448000
2024-03,JURONG EAST,4 ROOM,63,TEBAN GDNS RD,10 TO 12,90,Model A,2003,78 years 04 months,485000