month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price
2017-07,TOA PAYOH,4 ROOM,202,TOA PAYOH NTH,10 TO 12,87,Improved,1973,55 years,435800
2017-11,TOA PAYOH,4 ROOM,209,TOA PAYOH NTH,10 TO 12,81,Improved,1973,54 years 08 months,425000
2018-09,TOA PAYOH,4 ROOM,202,TOA PAYOH NTH,10 TO 12,87,Improved,1973,53 years 10 months,430000
2019-03,TOA PAYOH,4 ROOM,200,TOA PAYOH NTH,10 TO 12,87,Improved,1973,53 years 05 months,360000
2019-03,TOA PAYOH,4 ROOM,201,TOA PAYOH NTH,10 TO 12,87,Improved,1973,53 years 04 months,408000
2019-05,TOA PAYOH,4 ROOM,201,TOA PAYOH NTH,10 TO 12,87,Improved,1973,53 years 02 months,325000
2019-09,TOA PAYOH,4 ROOM,201,TOA PAYOH NTH,10 TO 12,87,Improved,1973,52 years 10 months,373998
2020-01,TOA PAYOH,4 ROOM,201,TOA PAYOH NTH,10 TO 12,87,Improved,1973,52 years 06 months,370000
2020-02,TOA PAYOH,4 ROOM,208,TOA PAYOH NTH,10 TO 12,81,Improved,1973,52 years 05 months,388000
2020-02,TOA PAYOH,4 ROOM,200,TOA PAYOH NTH,10 TO 12,87,Improved,1973,52 years 05 months,360000
2020-03,TOA PAYOH,4 ROOM,209,TOA PAYOH NTH,10 TO 12,81,Improved,1973,52 years 04 months,355000
2020-09,TOA PAYOH,4 ROOM,202,TOA PAYOH NTH,10 TO 12,87,Improved,1973,51 years 11 months,370000
2021-01,TOA PAYOH,4 ROOM,204,TOA PAYOH NTH,10 TO 12,87,Improved,1973,51 years 07 months,370000
2021-02,TOA PAYOH,4 ROOM,200,TOA PAYOH NTH,10 TO 12,87,Improved,1973,51 years 06 months,378000
2021-04,TOA PAYOH,4 ROOM,209,TOA PAYOH NTH,10 TO 12,81,Improved,1973,51 years 04 months,399000
2021-05,TOA PAYOH,4 ROOM,208,TOA PAYOH NTH,10 TO 12,81,Improved,1973,51 years 03 months,381000
2021-07,TOA PAYOH,4 ROOM,200,TOA PAYOH NTH,10 TO 12,87,Improved,1973,51 years,380000
2021-10,TOA PAYOH,4 ROOM,200,TOA PAYOH NTH,10 TO 12,87,Improved,1973,50 years 10 months,375000
2021-10,TOA PAYOH,4 ROOM,200,TOA PAYOH NTH,10 TO 12,87,Improved,1973,50 years 11 months,400000
2022-03,TOA PAYOH,4 ROOM,201,TOA PAYOH NTH,10 TO 12,87,Improved,1973,50 years 05 months,418000
2022-03,TOA PAYOH,4 ROOM,200,TOA PAYOH NTH,10 TO 12,87,Improved,1973,50 years 04 months,432000
2022-03,TOA PAYOH,4 ROOM,204,TOA PAYOH NTH,10 TO 12,87,Improved,1973,50 years 04 months,460000
2022-04,TOA PAYOH,4 ROOM,209,TOA PAYOH NTH,10 TO 12,81,Improved,1973,50 years 03 months,400000
2022-05,TOA PAYOH,4 ROOM,204,TOA PAYOH NTH,10 TO 12,87,Improved,1973,50 years 03 months,399000
2022-09,TOA PAYOH,4 ROOM,200,TOA PAYOH NTH,10 TO 12,87,Improved,1973,49 years 11 months,430000
2023-02,TOA PAYOH,4 ROOM,200,TOA PAYOH NTH,10 TO 12,87,Improved,1973,49 years 05 months,428000
2023-03,TOA PAYOH,4 ROOM,201,TOA PAYOH NTH,10 TO 12,87,Improved,1973,49 years 05 months,450000
2023-11,TOA PAYOH,4 ROOM,202,TOA PAYOH NTH,10 TO 12,87,Improved,1973,48 years 09 months,490000
2024-02,TOA PAYOH,4 ROOM,202,TOA PAYOH NTH,10 TO 12,87,Improved,1973,48 years 06 months,538000